title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Data Scientist,Anaplan,"York, North Yorkshire","At Anaplan, we are a team of innovators who are focused on optimizing business decision-making through our leading scenario planning and analysis platform so our customers can outpace their competition and the market. What unites Anaplanners across teams and geographies is our collective commitment to our customers’ success and to our Winning Culture. Our customers rank among the who’s who in the Fortune 50. Coca-Cola, LinkedIn, Adobe, LVMH and Bayer are just a few of the 2,400 global companies…",https://www.adzuna.co.uk/jobs/details/5056355843?utm_medium=api&utm_source=9b195f40,48337.51,48337.51,2025-02-19T14:42:08Z
Data Science Trainee,ITOL Recruitment,"York, North Yorkshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5087466182?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-11T17:26:48Z
Junior Data Consultant,Sparta Global Limited,"York, North Yorkshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846303?se=sFjVtL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=FB007BA93281FC0D647F2CA9DB7C411183F91078,24000,24000,2025-04-01T17:45:17Z
Coding and Programming Trainee,ITOL Recruitment,"York, North Yorkshire","Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tut…",https://www.adzuna.co.uk/jobs/details/5113833952?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-27T16:03:29Z
Data Engineer,Onebright,"York, North Yorkshire","Are you an experienced data engineer with a “can do” attitude, and a critical eye for detail? Onebright are seeking an experienced Data Engineer to add to our growing data team. About Our Opportunity As a Data Engineer here at Onebright York you will contribute to the continuous implementation of the right architecture and data pipelines to enable the company to exploit its data assets. The scope of the data warehouse is to provide operational support and monitoring as well as MI for internal a…",https://www.adzuna.co.uk/jobs/details/5115996128?utm_medium=api&utm_source=9b195f40,31307.06,31307.06,2025-03-28T15:17:14Z
NCAS Scientific Training Manager,University of York,"York, North Yorkshire","Department The National Centre for Atmospheric Science (NCAS) is a world leading research centre, dedicated to the advancement of atmospheric science. NCAS is based in 12 universities across the UK and at the STFC, and this role will be based at our site in the Wolfson Atmospheric Chemistry Laboratory at the University of York. NCAS research falls into four areas: Climate and Global Change, Air Pollution, Weather Science and Digital Atmosphere. We provide the UK with state-of-the-art services f…",https://www.adzuna.co.uk/jobs/details/5104412665?utm_medium=api&utm_source=9b195f40,37174,45413,2025-03-21T11:41:29Z
Assistant Scientist - Ecotoxicologist Fish Facility,Fera Science,"Warthill, York","Join us as an Assistant Scientist and make an invaluable contribution to our Food Safety &amp; Biosecurity As an Assistant Scientist you will be based within the Ecotoxicology Team that sits within the Chemical Safety department at Fera. You will be responsible for the care, welfare and management of fish in research, while also assisting with scientific experiments and data collection. You will also be responsible for supporting all aspects of the experimental work, including undertaking gener…",https://www.adzuna.co.uk/jobs/details/5104846146?utm_medium=api&utm_source=9b195f40,25090,25090,2025-03-21T15:09:59Z
